"solution_name","connector_id","table_name"
"Bitwarden","BitwardenEventLogs","BitwardenGroups_CL"
"Bitwarden","BitwardenEventLogs","BitwardenMembers_CL"
"Blackberry CylancePROTECT","",""
"Blackberry CylancePROTECT","BlackberryCylancePROTECT","Syslog"
"Blackberry CylancePROTECT","BlackberryCylancePROTECT","syslog"
"BlinkOps","",""
"BloodHound Enterprise","",""
"BloodHound Enterprise","BloodHoundEnterprise","BHEAttackPathsData_CL"
"Box","",""
"Box","BoxDataConnector","BoxEventsV2_CL"
"Box","BoxDataConnector","BoxEvents_CL"
"Box","BoxEventsCCPDefinition","BoxEventsV2_CL"
"Box","BoxEventsCCPDefinition","BoxEvents_CL"
"Broadcom SymantecDLP","",""
"Broadcom SymantecDLP","BroadcomSymantecDLP","CommonSecurityLog"
"Broadcom SymantecDLP","BroadcomSymantecDLPAma","CommonSecurityLog"
"Business Email Compromise - Financial Fraud","",""
"CTERA","",""
"CTERA","CTERA","Syslog"
"CTM360","",""
"CTM360","CBSPollingIDAzureFunctions","CBSLog_Azure_1_CL"
"CTM360","HVPollingIDAzureFunctions","HackerViewLog_Azure_1_CL"
"Check Point","",""
"Check Point CloudGuard CNAPP","",""
"Check Point CloudGuard CNAPP","CloudGuardCCPDefinition","CloudGuard_SecurityEvents_CL"
"Check Point Cyberint Alerts","",""
"Check Point Cyberint Alerts","CheckPointCyberintAlerts","argsentdc_CL"
"Check Point Cyberint IOC","",""
"Check Point Cyberint IOC","CheckPointCyberintIOC","iocsent_CL"
"CheckPhish by Bolster","",""
"Cisco ACI","",""
"Cisco ACI","CiscoACI","Syslog"
"Cisco ETD","",""
"Cisco ETD","CiscoETD","CiscoETD_CL"
"Cisco Firepower EStreamer","",""
"Cisco Firepower EStreamer","CiscoFirepowerEStreamer","CommonSecurityLog"
"Cisco Firepower EStreamer","CiscoFirepowerEStreamerAma","CommonSecurityLog"
"Cisco ISE","",""
"Cisco ISE","CiscoISE","Syslog"
"Cisco Meraki Events via REST API","",""
"Cisco Meraki Events via REST API","CiscoMerakiMultiRule","ASimAuditEventLogs"
"Cisco Meraki Events via REST API","CiscoMerakiMultiRule","ASimNetworkSessionLogs"
"Cisco Meraki Events via REST API","CiscoMerakiMultiRule","ASimWebSessionLogs"
"Cisco SD-WAN","",""
"Cisco SD-WAN","CiscoSDWAN","CiscoSDWANNetflow_CL"
"Cisco SD-WAN","CiscoSDWAN","Syslog"
"Cisco Secure Cloud Analytics","",""
"Cisco Secure Cloud Analytics","Stealthwatch","Syslog"
"Cisco Secure Endpoint","",""
"Cisco Secure Endpoint","CiscoSecureEndpoint","CiscoSecureEndpoint_CL"
"Cisco Secure Endpoint","CiscoSecureEndpointLogsCCPDefinition","CiscoSecureEndpointAuditLogsV2_CL"
"Cisco Secure Endpoint","CiscoSecureEndpointLogsCCPDefinition","CiscoSecureEndpointEventsV2_CL"
"Cisco UCS","",""
"Cisco UCS","CiscoUCS","ASimSourceType"
"Cisco UCS","CiscoUCS","EVENT"
"Cisco UCS","CiscoUCS","Syslog"
"CiscoASA","",""
"CiscoASA","CiscoASA","CommonSecurityLog"
"CiscoASA","CiscoAsaAma","CommonSecurityLog"
"CiscoASA","CiscoAsaAma","Heartbeat"
"CiscoDuoSecurity","",""
"CiscoDuoSecurity","CiscoDuoSecurity","CiscoDuo_CL"
"CiscoMeraki","",""
"CiscoMeraki","CiscoMeraki","CiscoMerakiNativePoller_CL"
"CiscoMeraki","CiscoMeraki","Syslog"
"CiscoMeraki","CiscoMeraki","meraki_CL"
"CiscoMeraki","CiscoMeraki(usingRESTAPI)","CiscoMerakiNativePoller_CL"
"CiscoMeraki","CiscoMeraki(usingRESTAPI)","Syslog"
"CiscoMeraki","CiscoMeraki(usingRESTAPI)","meraki_CL"
"CiscoMeraki","CiscoMerakiNativePoller","CiscoMerakiNativePoller_CL"
"CiscoMeraki","CiscoMerakiNativePoller","Syslog"
"CiscoMeraki","CiscoMerakiNativePoller","meraki_CL"
"CiscoSEG","",""
"CiscoSEG","CiscoSEG","CommonSecurityLog"
"CiscoSEG","CiscoSEGAma","CommonSecurityLog"
"CiscoUmbrella","",""
"CiscoUmbrella","CiscoUmbrellaDataConnector","Cisco_Umbrella_audit_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnector","Cisco_Umbrella_cloudfirewall_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnector","Cisco_Umbrella_dlp_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnector","Cisco_Umbrella_dns_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnector","Cisco_Umbrella_fileevent_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnector","Cisco_Umbrella_firewall_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnector","Cisco_Umbrella_intrusion_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnector","Cisco_Umbrella_ip_CL"
"CiscoUmbrella","CiscoUmbrellaDataConnector","Cisco_Umbrella_proxy_CL"
